name,is_cum,is_wr,is_pf,is_dd,is_trades,is_score,oos_cum,oos_wr,oos_pf,oos_dd,oos_trades,oos_score,drop_cum,drop_score
500_1_3,228.68,69.3,1.98,15.77,114,0.5512,175.03,72.65,1.73,38.23,117,0.1866,53.7,0.36
500_4_2_h1500_s3500_top3_inf3_lhd0.7,317.44,74.1,2.6,15.87,139,0.841,511.65,77.34,2.88,4.94,203,3.4196,-194.2,-2.58
500_3_2_h1500_s3000_top5,599.85,73.47,2.48,25.07,245,0.8997,646.58,75.92,2.59,7.74,245,2.7518,-46.7,-1.85
500_4_3_h2000_s3000_top3_inf3,402.01,73.05,2.87,13.02,141,1.2935,532.41,74.87,2.84,6.92,191,2.7225,-130.4,-1.43
